product_name,price,discount,date,source,,
Checked Shirt with Patch Pocket,959,29,29-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,30-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,01-12-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,02-12-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,03-12-2023,Myntra,,
Checked Shirt with Patch Pocket,768,43,04-12-2023,Myntra,,
Checked Shirt with Patch Pocket,720,47,05-12-2023,Myntra,,
Checked Shirt with Patch Pocket,752,45,05-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,07-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,07-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,08-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,09-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,10-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,11-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,12-12-2023,Myntra,,
Checked Shirt with Patch Pocket,688,49,13-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,14-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,15-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,16-12-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,17-12-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,18-12-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,19-12-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,20-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,21-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,22-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,23-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,24-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,25-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,26-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,27-12-2023,Myntra,,
Checked Shirt with Patch Pocket,800,41,28-12-2023,Myntra,,
Checked Shirt with Patch Pocket,720,47,29-12-2023,Myntra,,
Checked Shirt with Patch Pocket,720,47,30-12-2023,Myntra,,
Checked Shirt with Patch Pocket,720,47,31-12-2023,Myntra,,
Checked Shirt with Patch Pocket,720,47,31-12-2023,Myntra,,
Checked Shirt with Patch Pocket,720,47,01-01-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,02-01-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,03-01-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,04-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,05-01-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,06-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,06-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,07-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,08-01-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,09-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,09-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,10-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,11-01-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,12-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,12-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,13-01-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,14-01-2024,Myntra,,
